k,points,radius,akurasi
0.02,12.0,15.0,82.3529411764706
0.005,12.0,16.0,11.764705882352942
0.01,12.0,16.0,41.1764705882353
0.015,12.0,16.0,82.3529411764706
0.02,12.0,16.0,82.3529411764706
0.005,12.0,17.0,11.764705882352942
0.01,12.0,17.0,47.05882352941177
0.015,12.0,17.0,82.3529411764706
0.02,12.0,17.0,76.47058823529412
0.005,12.0,18.0,11.764705882352942
0.01,12.0,18.0,52.94117647058823
0.015,12.0,18.0,82.3529411764706
0.02,12.0,18.0,76.47058823529412
0.005,12.0,19.0,11.764705882352942
0.01,12.0,19.0,58.8235294117647
0.015,12.0,19.0,82.3529411764706
0.02,12.0,19.0,82.3529411764706
0.005,12.0,20.0,11.764705882352942
0.01,12.0,20.0,64.70588235294117
0.015,12.0,20.0,82.3529411764706
0.02,12.0,20.0,76.47058823529412
0.005,16.0,4.0,23.529411764705884
0.01,16.0,4.0,52.94117647058823
0.015,16.0,4.0,70.58823529411765
0.02,16.0,4.0,47.05882352941177
0.005,16.0,5.0,11.764705882352942
0.01,16.0,5.0,52.94117647058823
0.015,16.0,5.0,64.70588235294117
0.02,16.0,5.0,64.70588235294117
0.005,16.0,6.0,11.764705882352942
0.01,16.0,6.0,47.05882352941177
0.015,16.0,6.0,64.70588235294117
0.02,16.0,6.0,64.70588235294117
0.005,16.0,7.0,11.764705882352942
0.01,16.0,7.0,47.05882352941177
0.015,16.0,7.0,58.8235294117647
0.02,16.0,7.0,64.70588235294117
0.005,16.0,8.0,17.647058823529413
0.01,16.0,8.0,41.1764705882353
0.015,16.0,8.0,64.70588235294117
0.02,16.0,8.0,64.70588235294117
0.005,16.0,9.0,11.764705882352942
0.01,16.0,9.0,52.94117647058823
0.015,16.0,9.0,64.70588235294117
0.02,16.0,9.0,70.58823529411765
0.005,16.0,10.0,11.764705882352942
0.01,16.0,10.0,47.05882352941177
0.015,16.0,10.0,58.8235294117647
0.02,16.0,10.0,70.58823529411765
0.005,16.0,11.0,11.764705882352942
0.01,16.0,11.0,47.05882352941177
0.015,16.0,11.0,64.70588235294117
0.02,16.0,11.0,70.58823529411765
0.005,16.0,12.0,17.647058823529413
0.01,16.0,12.0,41.1764705882353
0.015,16.0,12.0,64.70588235294117
0.02,16.0,12.0,76.47058823529412
0.005,16.0,13.0,23.529411764705884
